date,value
01-04-13,41
01-04-13,211
01-04-13,41
01-04-13,211
01-04-13,41
01-04-13,211
01-04-13,41
01-03-13,127
01-03-13,127
01-03-13,749
01-03-13,361
01-03-13,127
01-03-13,127
01-03-13,749
01-03-13,361
01-03-13,127
01-03-13,127
01-03-13,749
01-03-13,361
01-03-13,127
01-03-13,127
01-03-13,749
01-03-13,361
01-03-13,91
01-02-13,729
01-02-13,409
01-02-13,729
01-02-13,409
01-02-13,729
01-02-13,409
01-02-13,729
01-02-13,409
01-01-13,142
01-01-13,142
01-01-13,919
01-01-13,330
01-01-13,142
01-01-13,142
01-01-13,919
01-01-13,330
01-01-13,142
01-01-13,142
01-01-13,919
01-01-13,330
01-01-13,142
01-01-13,142
01-01-13,919
01-01-13,330
01-01-13,142
01-12-12,569
01-12-12,150
01-12-12,569
01-12-12,150
01-12-12,569
01-12-12,150
01-12-12,569
01-12-12,150
01-09-12,66
01-09-12,66
01-09-12,66
01-09-12,66
